Entity,Code,Year,Crop,Value
Australia,AUS,2011,Wheat (tonnes per hectare),2.0301
Australia,AUS,2012,Wheat (tonnes per hectare),2.1511
Australia,AUS,2013,Wheat (tonnes per hectare),1.7609
Australia,AUS,2014,Wheat (tonnes per hectare),2.0061
Australia,AUS,2015,Wheat (tonnes per hectare),1.9172
Australia,AUS,2016,Wheat (tonnes per hectare),1.9743
Australia,AUS,2017,Wheat (tonnes per hectare),2.6100000000000003
Australia,AUS,2018,Wheat (tonnes per hectare),1.9178
Brazil,BRA,2011,Wheat (tonnes per hectare),2.6602
Brazil,BRA,2012,Wheat (tonnes per hectare),2.31
Brazil,BRA,2013,Wheat (tonnes per hectare),2.7491000000000003
Brazil,BRA,2014,Wheat (tonnes per hectare),2.2088
Brazil,BRA,2015,Wheat (tonnes per hectare),2.2278
Brazil,BRA,2016,Wheat (tonnes per hectare),3.1551
Brazil,BRA,2017,Wheat (tonnes per hectare),2.279
Brazil,BRA,2018,Wheat (tonnes per hectare),2.6238
India,IND,2011,Wheat (tonnes per hectare),2.9886
India,IND,2012,Wheat (tonnes per hectare),3.1775
India,IND,2013,Wheat (tonnes per hectare),3.1538
India,IND,2014,Wheat (tonnes per hectare),3.1457
India,IND,2015,Wheat (tonnes per hectare),2.7496
India,IND,2016,Wheat (tonnes per hectare),3.0339
India,IND,2017,Wheat (tonnes per hectare),3.1994
India,IND,2018,Wheat (tonnes per hectare),3.3705000000000003
Ireland,IRL,2011,Wheat (tonnes per hectare),9.8641
Ireland,IRL,2012,Wheat (tonnes per hectare),7.2235
Ireland,IRL,2013,Wheat (tonnes per hectare),8.9983
Ireland,IRL,2014,Wheat (tonnes per hectare),10.014
Ireland,IRL,2015,Wheat (tonnes per hectare),10.6677
Ireland,IRL,2016,Wheat (tonnes per hectare),9.539
Ireland,IRL,2017,Wheat (tonnes per hectare),10.1716
Ireland,IRL,2018,Wheat (tonnes per hectare),8.7379
Nigeria,NGA,2011,Wheat (tonnes per hectare),1.2791
Nigeria,NGA,2012,Wheat (tonnes per hectare),1.0189
Nigeria,NGA,2013,Wheat (tonnes per hectare),1.0
Nigeria,NGA,2014,Wheat (tonnes per hectare),1.3043
Nigeria,NGA,2015,Wheat (tonnes per hectare),1.0
Nigeria,NGA,2016,Wheat (tonnes per hectare),1.0
Nigeria,NGA,2017,Wheat (tonnes per hectare),0.9151
Nigeria,NGA,2018,Wheat (tonnes per hectare),0.7895000000000001
United States,USA,2011,Wheat (tonnes per hectare),2.9422
United States,USA,2012,Wheat (tonnes per hectare),3.1154
United States,USA,2013,Wheat (tonnes per hectare),3.1673
United States,USA,2014,Wheat (tonnes per hectare),2.9378
United States,USA,2015,Wheat (tonnes per hectare),2.9299
United States,USA,2016,Wheat (tonnes per hectare),3.5408000000000004
United States,USA,2017,Wheat (tonnes per hectare),3.1175
United States,USA,2018,Wheat (tonnes per hectare),3.1999
Australia,AUS,2011,Rice (tonnes per hectare),9.5441
Australia,AUS,2012,Rice (tonnes per hectare),8.9098
Australia,AUS,2013,Rice (tonnes per hectare),10.2177
Australia,AUS,2014,Rice (tonnes per hectare),10.6827
Australia,AUS,2015,Rice (tonnes per hectare),9.9103
Australia,AUS,2016,Rice (tonnes per hectare),10.2889
Australia,AUS,2017,Rice (tonnes per hectare),9.8208
Australia,AUS,2018,Rice (tonnes per hectare),10.386
Brazil,BRA,2011,Rice (tonnes per hectare),4.8956
Brazil,BRA,2012,Rice (tonnes per hectare),4.7860000000000005
Brazil,BRA,2013,Rice (tonnes per hectare),5.0071
Brazil,BRA,2014,Rice (tonnes per hectare),5.2013
Brazil,BRA,2015,Rice (tonnes per hectare),5.7525
Brazil,BRA,2016,Rice (tonnes per hectare),5.464300000000001
Brazil,BRA,2017,Rice (tonnes per hectare),6.213100000000001
Brazil,BRA,2018,Rice (tonnes per hectare),6.3123000000000005
India,IND,2011,Rice (tonnes per hectare),3.5878
India,IND,2012,Rice (tonnes per hectare),3.6909
India,IND,2013,Rice (tonnes per hectare),3.607
India,IND,2014,Rice (tonnes per hectare),3.5638
India,IND,2015,Rice (tonnes per hectare),3.6077
India,IND,2016,Rice (tonnes per hectare),3.7902
India,IND,2017,Rice (tonnes per hectare),3.8479
India,IND,2018,Rice (tonnes per hectare),3.8782
Ireland,IRL,2011,Rice (tonnes per hectare),0.0
Ireland,IRL,2012,Rice (tonnes per hectare),0.0
Ireland,IRL,2013,Rice (tonnes per hectare),0.0
